group	ange-pval	ange-count	ange-count	sorgh-pval	sorgh-count	sorgh-count
11S2_SESIN	0.936171143	1	1	0.464855633	1	1
12KD_FRAAN	0.375765672	2	2	0.418511451	2	2
13S2_FAGES	1	1	1	NA	NA	NA
14331_MAIZE	0.754647386	1	1	0.483874236	2	2
14331_ORYSJ	0.614549727	1	1	0.746996988	1	1
14332_MAIZE	0.106283909	4	4	0.50435148	2	2
14333_ORYSJ	0.234678033	11	11	0.082110529	10	10
14334_ORYSJ	0.582526388	4	4	0.595868211	4	4
14337_SOLLC	1	1	1	NA	NA	NA
14338_ORYSJ	0.933744167	1	1	0.788212828	1	1
1A112_ARATH	0.282740641	4	4	0.344014418	4	4
1MMP_ARATH	0.57602591	3	3	0.842850869	1	1
21KD_DAUCA	0.43574751	3	3	0.585685286	2	2
2A5A_ARATH	0.739762202	1	1	0.033382333	3	3
2A5B_ARATH	0.151707615	5	5	0.055035623	3	3
2A5G_ARATH	0.237208352	4	4	0.295416083	6	6
2A5N_ARATH	0.123810799	7	7	0.569455323	5	5
2A5Z_ARATH	0.665036358	1	1	NA	NA	NA
2AAB_ARATH	0.195456247	5	5	0.419612629	7	7
2AAG_ARATH	0.38603104	2	2	NA	NA	NA
2AB2A_ARATH	0.517568605	1	1	NA	NA	NA
2AB2D_ARATH	0.362746323	6	6	1	1	1
2ABA_ORYSJ	0.079876845	2	2	0.502682557	6	6
2ABB_ARATH	0.176884123	5	5	0.814501318	1	1
2ABB_ORYSI	0.240720032	3	3	1	1	1
2ABB_ORYSJ	0.062970454	6	6	0.080823334	7	7
2MMP_ARATH	1	2	2	NA	NA	NA
2NPD_STAAW	0.472982672	1	1	NA	NA	NA
3AT_PERFR	0.913662032	1	1	NA	NA	NA
3HBH_KLEOX	0.206595054	2	2	0.298539964	2	2
3HID1_ARATH	0.341497077	5	5	0.540534582	2	2
3HID2_ARATH	0.87066201	1	1	0.524614769	1	1
3MAT_DAHPI	0.331302253	2	2	NA	NA	NA
3MG_ARATH	0.441970891	1	1	NA	NA	NA
4CGT_ANTMA	0.437029602	1	1	0.381946502	3	3
4CL1_ORYSJ	0.56124832	2	2	NA	NA	NA
4CL2_ORYSJ	0.546029749	4	4	0.501420231	3	3
4CL3_ORYSJ	0.043238466	11	11	0.149955187	11	11
4CL4_ORYSJ	0.913044008	1	1	0.772163881	2	2
4CLL1_ORYSJ	0.782565986	3	3	0.549488643	4	4
4CLL4_ORYSJ	0.657695574	3	3	1	1	1
4CLL5_ORYSJ	0.009324609	6	6	0.230720216	5	5
4CLL6_ORYSJ	0.690547027	1	1	0.779070468	1	1
