"","Group","nSpecies","S","alpha","Variance","Pvalue","FDR","ange","sorgh","NormScore.ange","NormScore.sorgh","ange.count","sorgh.count","ange.count.1","sorgh.count.1"
"1","11S2_SESIN",2,0.4159926811997,2,0.5,0.797251504377034,1,0.936171143,0.464855633,0.0659569741332001,0.766028388266201,1,1,1,1
"2","12KD_FRAAN",2,0.616613523351923,3.6,0.277777777777778,0.747361448685451,1,0.375765672,0.418511451,0.652526361757332,0.580700684946514,2,2,2,2
"3","13S2_FAGES",1,0,1,1,1,1,1,NA,0,NA,1,NA,1,NA
"4","14331_MAIZE",2,0.38272908828864,2.57142857142857,0.388888888888889,0.865718658214501,1,0.754647386,0.483874236,0.281504677240116,0.483953499337165,1,2,1,2
"5","14331_ORYSJ",2,0.389279778267346,2,0.5,0.816477635415433,1,0.614549727,0.746996988,0.486865430548729,0.291694125985963,1,1,1,1
"6","14332_MAIZE",2,0.766154555193775,4.5271629778672,0.220888888888889,0.64879556167494,1,0.106283909,0.50435148,1.07598786171056,0.456321248676992,4,2,4,2
"7","14333_ORYSJ",2,0.666718296258049,11.3800286284229,0.0878732411535754,0.880803455123048,1,0.234678033,0.082110529,0.479999884447135,0.853436708068962,11,10,11,10
"8","14334_ORYSJ",2,0.253947972511678,6.09756097560976,0.164,0.995516159115462,1,0.582526388,0.595868211,0.259382780774784,0.248513164248571,4,4,4,4
"9","14337_SOLLC",1,0,1,1,1,1,1,NA,0,NA,1,NA,1,NA
"10","14338_ORYSJ",2,0.153269964352642,2,0.5,0.961599186090777,1,0.933744167,0.788212828,0.0685527894087047,0.237987139296579,1,1,1,1
"11","1A112_ARATH",2,0.559271273793999,6.09756097560976,0.164,0.878459450270696,1,0.282740641,0.344014418,0.606348126933746,0.512194420654252,4,4,4,4
"12","1MMP_ARATH",2,0.235919703590527,2.84705882352941,0.351239669421488,0.960199739466557,1,0.57602591,0.842850869,0.300874165450388,0.170965241730665,3,1,3,1
"13","21KD_DAUCA",2,0.404876677303505,4.16443594646272,0.240128558310376,0.923703400806498,1,0.43574751,0.585685286,0.453104895754935,0.356648458852076,3,2,3,2
"14","2A5A_ARATH",2,1.077911920458,2.84705882352941,0.351239669421488,0.37223957646212,1,0.739762202,0.033382333,0.301426493076111,1.85439734783989,1,3,1,3
"15","2A5B_ARATH",2,1.2037965696488,5.83356087411622,0.171421884776594,0.274706511046339,1,0.151707615,0.055035623,0.825897896114795,1.5816952431828,5,3,5,3
"16","2A5G_ARATH",2,0.59416705182223,6.93888744032152,0.144115322319404,0.870805269114875,1,0.237208352,0.295416083,0.690631872809219,0.497702230835241,4,6,4,6
"17","2A5N_ARATH",2,0.526138682881474,7.9113713670938,0.126400336123691,0.93418339518823,1,0.123810799,0.569455323,0.805675198453747,0.246602167309202,7,5,7,5
"18","2A5Z_ARATH",1,0.407913566136624,1,1,0.665036358,1,0.665036358,NA,0.407913566136624,NA,1,NA,1,NA
"19","2AAB_ARATH",2,0.524928503617088,7.9113713670938,0.126400336123691,0.934855569990433,1,0.195456247,0.419612629,0.714927908809619,0.334929098424557,5,7,5,7
"20","2AAG_ARATH",1,0.634558332161738,1.8,0.555555555555556,0.621171986310889,1,0.38603104,NA,0.634558332161738,NA,2,NA,2,NA
"21","2AB2A_ARATH",1,0.658613192580936,1,1,0.517568605,1,0.517568605,NA,0.658613192580936,NA,1,NA,1,NA
"22","2AB2D_ARATH",2,0.206949290556496,3.20394395433316,0.312115322319404,0.979091789622495,1,0.362746323,1,0.413898581112992,0,6,1,6,1
"23","2ABA_ORYSJ",2,0.982789703098055,4.97502014504432,0.201004211208293,0.455531582941573,1,0.079876845,0.502682557,1.68484617863977,0.280733227556339,2,6,2,6
"24","2ABB_ARATH",2,0.481916718527576,3.12322156585406,0.320182215355107,0.8292729296283,1,0.176884123,0.814501318,0.758654204284462,0.20517923277069,5,1,5,1
"25","2ABB_ORYSI",2,0.388396558288862,2.84705882352941,0.351239669421488,0.87868324887958,1,0.240720032,1,0.776793116577723,0,3,1,3,1
"26","2ABB_ORYSJ",2,1.04938464248673,8.45069638729636,0.118333443087988,0.399060754794828,1,0.062970454,0.080823334,1.12860801907144,0.970161265902009,6,7,6,7
"27","2MMP_ARATH",1,0,1.8,0.555555555555556,1,1,1,NA,0,NA,2,NA,2,NA
"28","2NPD_STAAW",1,0.748696525410726,1,1,0.472982672,1,0.472982672,NA,0.748696525410726,NA,1,NA,1,NA
"29","3AT_PERFR",1,0.0902945439615671,1,1,0.913662032,1,0.913662032,NA,0.0902945439615671,NA,1,NA,1,NA
"30","3HBH_KLEOX",2,0.928615378309237,3.6,0.277777777777778,0.484477065923661,1,0.206595054,0.298539964,1.05132977504254,0.805900981575938,2,2,2,2
"31","3HID1_ARATH",2,0.440339165677003,4.78306174167882,0.209071104243996,0.921781514470771,1,0.341497077,0.540534582,0.470547223053347,0.41013110830066,5,2,5,2
"32","3HID2_ARATH",2,0.391796242363765,2,0.5,0.814677536716047,1,0.87066201,0.524614769,0.138501425660265,0.645091059067265,1,1,1,1
"33","3MAT_DAHPI",1,0.736482779477643,1.8,0.555555555555556,0.553358030923297,1,0.331302253,NA,0.736482779477643,NA,2,NA,2,NA
"34","3MG_ARATH",1,0.8165112565392,1,1,0.441970891,1,0.441970891,NA,0.8165112565392,NA,1,NA,1,NA
"35","4CGT_ANTMA",2,0.676370280971559,2.84705882352941,0.351239669421488,0.660875776644658,1,0.437029602,0.381946502,0.827754347050303,0.524986214892815,1,3,1,3
"36","4CL1_ORYSJ",1,0.385061222165759,1.8,0.555555555555556,0.799553875869101,1,0.56124832,NA,0.385061222165759,NA,2,NA,2,NA
"37","4CL2_ORYSJ",2,0.333486203481247,5.45733357387696,0.183239669421488,0.978166185201311,1,0.546029749,0.501420231,0.290439273299289,0.376533133663204,4,3,4,3
