"","gene","adr7","adr8","aww7","aww8"
"1","11S2_SESIN",13.154,14.008,12.137,13.525
"2","12KD_FRAAN",288.875,803.059,302.158,480.797
"3","13S2_FAGES",2.983,16.203,3.928,13.799
"4","14331_MAIZE",186.582,269.014,233.625,275.577
"5","14331_ORYSJ",31.013,74.322,63.848,65.807
"6","14332_MAIZE",97.52075,122.2665,112.7055,125.083
"7","14333_ORYSJ",39.6245454545455,42.3927272727273,43.9924545454545,56.9786363636364
"8","14334_ORYSJ",77.51525,67.06075,85.18925,73.005
"9","14337_SOLLC",9.168,2.763,6.416,6.009
"10","14338_ORYSJ",17.288,16.985,16.449,18.703
"11","1A112_ARATH",10.58125,14.21125,16.14075,14.48675
"12","1MMP_ARATH",7.73233333333333,11.8693333333333,6.461,8.68066666666667
"13","21KD_DAUCA",17.763,44.3503333333333,34.6363333333333,22.2486666666667
"14","2A5A_ARATH",6.913,6.393,7.173,12.693
"15","2A5B_ARATH",5.4954,6.0612,4.2372,4.2124
"16","2A5G_ARATH",5.926,7.523,6.59975,7.50175
"17","2A5N_ARATH",6.07828571428571,8.55514285714286,6.78914285714286,5.236
"18","2A5Z_ARATH",5.809,8.053,6.602,2.897
"19","2AAB_ARATH",14.2756,13.8468,14.7702,15.8506
"20","2AAG_ARATH",10.328,11.304,9.1055,12.2775
"21","2AB2A_ARATH",3.056,1.381,3.918,3.298
"22","2AB2D_ARATH",4.09933333333333,3.69816666666667,3.569,3.9065
"23","2ABA_ORYSJ",19.658,14.8965,20.7865,20.8655
"24","2ABB_ARATH",3.9784,4.5858,4.4732,2.8578
"25","2ABB_ORYSI",2.26133333333333,5.04766666666667,7.39366666666667,3.435
"26","2ABB_ORYSJ",7.6895,7.56033333333333,5.7455,7.0465
"27","2MMP_ARATH",4.2805,4.8135,4.493,4.4485
"28","2NPD_STAAW",7.935,8.632,2.322,7.164
"29","3AT_PERFR",5.302,3.277,2.342,5.51
"30","3HBH_KLEOX",8.345,3.5235,5.333,7.8295
