"","gene","p.value","gene","count"
"1","11S2_SESIN",0.936171143,"11S2_SESIN",1
"2","12KD_FRAAN",0.375765672,"12KD_FRAAN",2
"3","13S2_FAGES",1,"13S2_FAGES",1
"4","14331_MAIZE",0.754647386,"14331_MAIZE",1
"5","14331_ORYSJ",0.614549727,"14331_ORYSJ",1
"6","14332_MAIZE",0.106283909,"14332_MAIZE",4
"7","14333_ORYSJ",0.234678033,"14333_ORYSJ",11
"8","14334_ORYSJ",0.582526388,"14334_ORYSJ",4
"9","14337_SOLLC",1,"14337_SOLLC",1
"10","14338_ORYSJ",0.933744167,"14338_ORYSJ",1
"11","1A112_ARATH",0.282740641,"1A112_ARATH",4
"12","1MMP_ARATH",0.57602591,"1MMP_ARATH",3
"13","21KD_DAUCA",0.43574751,"21KD_DAUCA",3
"14","2A5A_ARATH",0.739762202,"2A5A_ARATH",1
"15","2A5B_ARATH",0.151707615,"2A5B_ARATH",5
"16","2A5G_ARATH",0.237208352,"2A5G_ARATH",4
"17","2A5N_ARATH",0.123810799,"2A5N_ARATH",7
"18","2A5Z_ARATH",0.665036358,"2A5Z_ARATH",1
"19","2AAB_ARATH",0.195456247,"2AAB_ARATH",5
"20","2AAG_ARATH",0.38603104,"2AAG_ARATH",2
"21","2AB2A_ARATH",0.517568605,"2AB2A_ARATH",1
"22","2AB2D_ARATH",0.362746323,"2AB2D_ARATH",6
"23","2ABA_ORYSJ",0.079876845,"2ABA_ORYSJ",2
"24","2ABB_ARATH",0.176884123,"2ABB_ARATH",5
"25","2ABB_ORYSI",0.240720032,"2ABB_ORYSI",3
"26","2ABB_ORYSJ",0.062970454,"2ABB_ORYSJ",6
"27","2MMP_ARATH",1,"2MMP_ARATH",2
"28","2NPD_STAAW",0.472982672,"2NPD_STAAW",1
"29","3AT_PERFR",0.913662032,"3AT_PERFR",1
"30","3HBH_KLEOX",0.206595054,"3HBH_KLEOX",2
"31","3HID1_ARATH",0.341497077,"3HID1_ARATH",5
"32","3HID2_ARATH",0.87066201,"3HID2_ARATH",1
"33","3MAT_DAHPI",0.331302253,"3MAT_DAHPI",2
"34","3MG_ARATH",0.441970891,"3MG_ARATH",1
"35","4CGT_ANTMA",0.437029602,"4CGT_ANTMA",1
"36","4CL1_ORYSJ",0.56124832,"4CL1_ORYSJ",2
"37","4CL2_ORYSJ",0.546029749,"4CL2_ORYSJ",4
"38","4CL3_ORYSJ",0.043238466,"4CL3_ORYSJ",11
"39","4CL4_ORYSJ",0.913044008,"4CL4_ORYSJ",1
"40","4CLL1_ORYSJ",0.782565986,"4CLL1_ORYSJ",3
"41","4CLL4_ORYSJ",0.657695574,"4CLL4_ORYSJ",3
"42","4CLL5_ORYSJ",0.009324609,"4CLL5_ORYSJ",6
"43","4CLL6_ORYSJ",0.690547027,"4CLL6_ORYSJ",1
"44","4CLL7_ORYSJ",0.558270735,"4CLL7_ORYSJ",1
"45","4CLL9_ARATH",0.160284434,"4CLL9_ARATH",6
"46","4CLLA_ARATH",0.020545086,"4CLLA_ARATH",10
"47","5BPOR_DIGLA",0.681645842,"5BPOR_DIGLA",3
"48","5FCL_ARATH",0.230528241,"5FCL_ARATH",2
"49","5FCLL_ARATH",0.015102952,"5FCLL_ARATH",8
"50","5MAT_ARATH",0.46377526,"5MAT_ARATH",2
"51","5NG4_PINTA",0.601222879,"5NG4_PINTA",3
"52","5NTC_DICDI",0.8801085,"5NTC_DICDI",2
"53","5NTC_MOUSE",0.413011418,"5NTC_MOUSE",1
"54","5NTC_XENLA",0.682819258,"5NTC_XENLA",1
"55","6DCS_SOYBN",0.57156796,"6DCS_SOYBN",1
"56","6HN3M_PSEPK",0.162893793,"6HN3M_PSEPK",2
"57","6PGD1_ORYSJ",0.226506725,"6PGD1_ORYSJ",11
"58","6PGD2_ORYSJ",0.407835564,"6PGD2_ORYSJ",3
"59","6PGL1_ORYSI",0.871904045,"6PGL1_ORYSI",1
"60","6PGL1_ORYSJ",0.534336684,"6PGL1_ORYSJ",1
"61","6PGL4_ORYSI",0.170999163,"6PGL4_ORYSI",1
"62","708A6_MAIZE",1,"708A6_MAIZE",1
"63","A1CF_HUMAN",0.70051034,"A1CF_HUMAN",1
"64","A1CF_PONAB",0.780424796,"A1CF_PONAB",2
"65","A2965_ARTBC",0.377124548,"A2965_ARTBC",2
"66","A60DA_DROME",0.53609934,"A60DA_DROME",3
"67","AAAS_ARATH",0.451176186,"AAAS_ARATH",2
"68","AAE1_ARATH",0.726773637,"AAE1_ARATH",7
"69","AAE11_ARATH",0.192802858,"AAE11_ARATH",6
"70","AAE13_ARATH",0.044912618,"AAE13_ARATH",5
"71","AAE16_ARATH",0.174626973,"AAE16_ARATH",12
"72","AAE17_ARATH",0.729357113,"AAE17_ARATH",4
"73","AAE2_ARATH",0.347276129,"AAE2_ARATH",5
"74","AAE5_ARATH",0.897756791,"AAE5_ARATH",2
"75","AAE6_ARATH",0.167989233,"AAE6_ARATH",4
"76","AAED1_ARATH",0.065438772,"AAED1_ARATH",9
"77","AAH_ORYSJ",0.253470165,"AAH_ORYSJ",4
"78","AAMP_CANLF",0.680540874,"AAMP_CANLF",5
"79","AAMT2_MAIZE",0.176341648,"AAMT2_MAIZE",6
"80","AAMT3_MAIZE",0.174555025,"AAMT3_MAIZE",2
"81","AAP1_ARATH",0.187302289,"AAP1_ARATH",3
"82","AAP2_ARATH",0.08167307,"AAP2_ARATH",6
"83","AAP3_ARATH",0.140988398,"AAP3_ARATH",14
"84","AAP4_ARATH",0.928358879,"AAP4_ARATH",3
"85","AAP5_ARATH",0.534186961,"AAP5_ARATH",2
"86","AAP6_ARATH",0.042769399,"AAP6_ARATH",5
"87","AAP7_ARATH",0.607825289,"AAP7_ARATH",1
"88","AAP8_ARATH",0.302844218,"AAP8_ARATH",3
"89","AAPC_CENCI",0.227329185,"AAPC_CENCI",13
"90","AAPT1_ARATH",0.51304868,"AAPT1_ARATH",7
"91","AAPT2_ARATH",0.570942292,"AAPT2_ARATH",2
"92","AAR2_RABIT",0.682781291,"AAR2_RABIT",1
"93","AASS_ARATH",0.237461225,"AASS_ARATH",5
"94","AAT_THET8",0.867479817,"AAT_THET8",1
"95","AAT1_ARATH",0.94361461,"AAT1_ARATH",1
"96","AAT5_ARATH",0.577785169,"AAT5_ARATH",3
"97","AATC_ORYSJ",0.105280246,"AATC_ORYSJ",7
"98","AATP4_ARATH",0.285108653,"AATP4_ARATH",4
"99","AATP9_ARATH",0.358125031,"AATP9_ARATH",5
"100","AATPC_ARATH",0.519918371,"AATPC_ARATH",2
"101","AATPF_ARATH",0.006225404,"AATPF_ARATH",1
"102","AATPI_ARATH",0.730965448,"AATPI_ARATH",1
"103","AATPJ_ARATH",0.526094557,"AATPJ_ARATH",2
"104","AB10C_ARATH",0.073075545,"AB10C_ARATH",36
"105","AB10I_ARATH",0.397904789,"AB10I_ARATH",2
"106","AB11B_ARATH",0.283013404,"AB11B_ARATH",6
"107","AB11G_ARATH",0.054055898,"AB11G_ARATH",18
"108","AB11I_ARATH",0.223180111,"AB11I_ARATH",6
"109","AB12G_ARATH",0.081359164,"AB12G_ARATH",4
"110","AB12I_ARATH",0.601194108,"AB12I_ARATH",1
"111","AB14B_ARATH",0.284080558,"AB14B_ARATH",1
"112","AB14C_ARATH",0.661574694,"AB14C_ARATH",4
"113","AB14G_ARATH",0.334085557,"AB14G_ARATH",1
"114","AB15C_ARATH",0.683606778,"AB15C_ARATH",2
"115","AB15G_ARATH",0.03086239,"AB15G_ARATH",7
"116","AB16B_ARATH",0.30259655,"AB16B_ARATH",1
"117","AB16G_ARATH",1,"AB16G_ARATH",1
"118","AB17A_HUMAN",0.963868362,"AB17A_HUMAN",1
"119","AB17A_RAT",1,"AB17A_RAT",1
"120","AB17B_CHICK",0.937498346,"AB17B_CHICK",1
"121","AB17B_RAT",1,"AB17B_RAT",1
"122","AB17C_CHICK",1,"AB17C_CHICK",1
"123","AB17C_DANRE",0.858084122,"AB17C_DANRE",2
"124","AB19B_ARATH",0.201215599,"AB19B_ARATH",1
"125","AB19G_ARATH",0.542939234,"AB19G_ARATH",1
"126","AB19I_ARATH",0.545109437,"AB19I_ARATH",2
"127","AB1B_ARATH",0.186862993,"AB1B_ARATH",4
"128","AB1C_ARATH",0.247188328,"AB1C_ARATH",4
"129","AB1D_ARATH",0.001367104,"AB1D_ARATH",18
"130","AB1F_ARATH",0.576661063,"AB1F_ARATH",11
"131","AB20B_ARATH",0.061945923,"AB20B_ARATH",11
"132","AB20I_ARATH",0.223873597,"AB20I_ARATH",5
"133","AB21B_ARATH",0.180675947,"AB21B_ARATH",7
"134","AB21I_ARATH",0.525983639,"AB21I_ARATH",3
"135","AB22G_ARATH",0.334192215,"AB22G_ARATH",3
"136","AB25B_ARATH",0.083614358,"AB25B_ARATH",5
"137","AB25B_ORYSJ",0.003447876,"AB25B_ORYSJ",4
"138","AB25G_ARATH",0.850564496,"AB25G_ARATH",1
"139","AB26B_ARATH",0.379910868,"AB26B_ARATH",8
"140","AB28B_ARATH",0.698234563,"AB28B_ARATH",2
