"","gene","p.value","gene","count"
"1","11S2_SESIN",0.464855633,"11S2_SESIN",1
"2","12KD_FRAAN",0.418511451,"12KD_FRAAN",2
"3","14331_MAIZE",0.483874236,"14331_MAIZE",2
"4","14331_ORYSJ",0.746996988,"14331_ORYSJ",1
"5","14332_MAIZE",0.50435148,"14332_MAIZE",2
"6","14333_ORYSJ",0.082110529,"14333_ORYSJ",10
"7","14334_ORYSJ",0.595868211,"14334_ORYSJ",4
"8","14338_ORYSJ",0.788212828,"14338_ORYSJ",1
"9","1A112_ARATH",0.344014418,"1A112_ARATH",4
"10","1MMP_ARATH",0.842850869,"1MMP_ARATH",1
"11","21KD_DAUCA",0.585685286,"21KD_DAUCA",2
"12","2A5A_ARATH",0.033382333,"2A5A_ARATH",3
"13","2A5B_ARATH",0.055035623,"2A5B_ARATH",3
"14","2A5G_ARATH",0.295416083,"2A5G_ARATH",6
"15","2A5N_ARATH",0.569455323,"2A5N_ARATH",5
"16","2AAA_PEA",0.856041737,"2AAA_PEA",1
"17","2AAB_ARATH",0.419612629,"2AAB_ARATH",7
"18","2AB2D_ARATH",1,"2AB2D_ARATH",1
"19","2ABA_ARATH",0.862709164,"2ABA_ARATH",1
"20","2ABA_ORYSJ",0.502682557,"2ABA_ORYSJ",6
"21","2ABB_ARATH",0.814501318,"2ABB_ARATH",1
"22","2ABB_ORYSI",1,"2ABB_ORYSI",1
"23","2ABB_ORYSJ",0.080823334,"2ABB_ORYSJ",7
"24","2NPD_BACSU",0.191402214,"2NPD_BACSU",1
"25","3HBH_KLEOX",0.298539964,"3HBH_KLEOX",2
"26","3HBH1_PSEAC",0.707543954,"3HBH1_PSEAC",1
"27","3HID1_ARATH",0.540534582,"3HID1_ARATH",2
"28","3HID2_ARATH",0.524614769,"3HID2_ARATH",1
"29","4CGT_ANTMA",0.381946502,"4CGT_ANTMA",3
"30","4CL2_ORYSJ",0.501420231,"4CL2_ORYSJ",3
"31","4CL3_ORYSJ",0.149955187,"4CL3_ORYSJ",11
"32","4CL4_ORYSJ",0.772163881,"4CL4_ORYSJ",2
"33","4CLL1_ORYSJ",0.549488643,"4CLL1_ORYSJ",4
"34","4CLL4_ORYSJ",1,"4CLL4_ORYSJ",1
"35","4CLL5_ORYSJ",0.230720216,"4CLL5_ORYSJ",5
"36","4CLL6_ORYSJ",0.779070468,"4CLL6_ORYSJ",1
"37","4CLL7_ORYSJ",0.697589233,"4CLL7_ORYSJ",1
"38","4CLL9_ARATH",0.138157602,"4CLL9_ARATH",5
"39","4CLLA_ARATH",0.199801424,"4CLLA_ARATH",5
"40","4MMP_ARATH",0.008231911,"4MMP_ARATH",1
"41","5BPOR_DIGLA",0.574379776,"5BPOR_DIGLA",2
"42","5FCL_ARATH",0.947244826,"5FCL_ARATH",1
"43","5FCLL_ARATH",0.327155483,"5FCLL_ARATH",4
