"","gene","dr7","dr8","ww8","ww9"
"1","11S2_SESIN",11.018,19.69,10.205,11.403
"2","12KD_FRAAN",300.43,831.696,312.9905,491.8095
"3","14331_MAIZE",130.95,171.0585,164.703,192.1735
"4","14331_ORYSJ",31.717,73.532,53.855,63.503
"5","14332_MAIZE",191.5705,267.471,231.388,262.9895
"6","14333_ORYSJ",31.5282,27.942,33.9497,38.8139
"7","14334_ORYSJ",103.0745,91.75375,103.961,100.85475
"8","14338_ORYSJ",24.14,15.107,21.261,21.985
"9","1A112_ARATH",14.048,19.95125,22.3045,16.78425
"10","1MMP_ARATH",15.219,18.776,15.446,14.5
"11","21KD_DAUCA",23.1665,56.2035,46.563,31.976
"12","2A5A_ARATH",3.323,3.51133333333333,5.13166666666667,1.89866666666667
"13","2A5B_ARATH",4.909,5.45533333333333,8.051,7.56266666666667
"14","2A5G_ARATH",12.3083333333333,8.26533333333333,8.50583333333333,10.6176666666667
"15","2A5N_ARATH",10.9028,6.374,10.0756,10.0134
"16","2AAA_PEA",1.15,6.585,5.887,3.987
"17","2AAB_ARATH",17.063,19.758,18.5825714285714,19.3244285714286
"18","2AB2D_ARATH",25.457,22.079,23.445,22.698
"19","2ABA_ARATH",15.21,19.443,15.271,15.008
"20","2ABA_ORYSJ",17.004,9.43816666666667,15.5021666666667,15.7868333333333
"21","2ABB_ARATH",9.766,3.777,6.215,4.876
"22","2ABB_ORYSI",0.992,2.034,0,2.384
"23","2ABB_ORYSJ",10.4227142857143,12.6581428571429,7.994,8.34028571428571
"24","2NPD_BACSU",26.376,6.51,3.067,8.862
"25","3HBH_KLEOX",17.2545,9.4685,15.1995,18.8045
"26","3HBH1_PSEAC",11.407,16.441,10.451,10.846
"27","3HID1_ARATH",9.172,12.578,8.2715,9.6835
"28","3HID2_ARATH",16.1,19.669,12.369,10.729
"29","4CGT_ANTMA",6.325,5.52333333333333,8.20833333333333,4.534
"30","4CL2_ORYSJ",22.87,54.921,46.1146666666667,29.675
"31","4CL3_ORYSJ",6.90918181818182,18.7219090909091,15.882,11.6072727272727
"32","4CL4_ORYSJ",8.69,16.785,14.4865,10.6895
"33","4CLL1_ORYSJ",15.411,17.3905,16.6765,11.43225
"34","4CLL4_ORYSJ",6.603,10.437,11.282,4.651
"35","4CLL5_ORYSJ",9.5914,6.077,9.8704,8.4092
"36","4CLL6_ORYSJ",20.06,22.391,16.953,18.575
"37","4CLL7_ORYSJ",4.591,8.974,4.184,4.045
"38","4CLL9_ARATH",10.105,7.2846,12.2006,9.5172
"39","4CLLA_ARATH",10.7728,12.5694,8.0018,8.0554
"40","4MMP_ARATH",10.062,12.664,0,2.189
"41","5BPOR_DIGLA",14.208,11.7765,16.42,19.562
"42","5FCL_ARATH",12.854,8.834,9.672,10.778
"43","5FCLL_ARATH",5.38125,5.61375,6.27425,6.808
"44","5MAT_ARATH",12.622,10.469,6.215,8.638
"45","5NG4_PINTA",9.441,8.027,11.62,10.8883333333333
"46","5NTC_DICDI",11.129,9.2695,7.1175,9.517
"47","5NTC_MOUSE",16.814,4.078,13.6455,15.6435
"48","5NTC_PONAB",30.855,37.713,55.26,32.45
"49","6HN3M_PSEPK",7.855,5.175,8.605,21.487
"50","6PGD1_ORYSJ",31.9288,24.999,25.9458,29.497
"51","6PGD2_ORYSJ",19.3736666666667,8.97366666666667,24.0436666666667,15.2263333333333
"52","6PGL1_ORYSJ",7.614,3.658,4.708,13.65
"53","6PGL4_ORYSI",38.525,29.632,59.732,54.005
"54","7TMK1_DICDI",5.017,8.576,7.672,5.169
"55","86A22_PETHY",79.293,31.214,52.07,96.588
"56","A1CF_RAT",8.5135,9.361,8.682,5.0075
"57","A2965_ARTBC",10.619,26.211,25.681,9.634
"58","AAAS_ARATH",17.7536666666667,14.884,11.9823333333333,8.501
"59","AAE_RAUSE",15.924,3.131,18.235,23.363
"60","AAE1_ARATH",12.5015,11.09075,12.14825,14.39025
"61","AAE11_ARATH",14.06425,14.70325,12.92775,14.00175
"62","AAE12_ARATH",11.092,7.704,8.65266666666667,11.038
"63","AAE13_ARATH",4.72975,3.0045,5.7715,4.80025
"64","AAE16_ARATH",6.97416666666667,6.03616666666667,6.96583333333333,6.54333333333333
"65","AAE17_ARATH",8.7895,5.0085,7.8025,9.16275
"66","AAE2_ARATH",12.251,4.3735,16.333,17.935
"67","AAE5_ARATH",13.4383333333333,13.41,9.66133333333333,12.673
"68","AAE6_ARATH",15.618,14.246,6.8,7.094
"69","AAED1_ARATH",13.5891764705882,14.2009411764706,14.2355294117647,14.4951764705882
"70","AAH_ORYSJ",25.46425,34.50375,25.29675,26.11075
"71","AAMT1_MAIZE",7.475,8.231,8.205,14.549
"72","AAMT2_MAIZE",4.3792,0.9748,2.7836,8.0184
"73","AAP1_ARATH",7.4145,16.742,7.015,12.937
"74","AAP2_ARATH",18.391,7.413,11.046,7.768
"75","AAP3_ARATH",8.56783333333333,9.4275,10.2321666666667,7.962
"76","AAP4_ARATH",6.835,9.07,5.784,11.325
"77","AAP5_ARATH",11.571,23.4063333333333,22.0436666666667,11.8853333333333
"78","AAP6_ARATH",10.449,10.3436666666667,8.57433333333333,7.68666666666667
"79","AAPC_CENCI",13.419,18.885375,16.8065625,15.5300625
"80","AAPT1_ARATH",12.8011666666667,8.25983333333333,11.897,11.8165
"81","AASS_ARATH",4.943,3.411,2.446,10.0935
"82","AAT1_ARATH",10.7023333333333,10.86,14.892,8.986
"83","AAT5_ARATH",153.263666666667,199.862333333333,182.839,160.487333333333
"84","AATC_ORYSJ",28.5483333333333,19.945,19.743,24.2
"85","AATP4_ARATH",17.547,11.685,13.261,16.21
"86","AATP5_ARATH",2.105,10.835,5.169,15.81
"87","AATP9_ARATH",8.541,16.484,15.866,6.898
"88","AATPA_ARATH",17.551,26.4045,17.0045,22.508
"89","AATPB_ARATH",168.933333333333,167.662,157.414,162.458
"90","AATPI_ARATH",10.739,21.272,6.636,8.628
"91","AB10C_ARATH",26.816,17.2061875,24.868375,28.6965625
"92","AB10I_ARATH",12.724,14.117,19.589,7.817
"93","AB11B_ARATH",17.2453333333333,17.4683333333333,15.4901666666667,15.9756666666667
"94","AB11G_ARATH",10.7974545454545,17.0346363636364,23.5378181818182,14.3778181818182
"95","AB11I_ARATH",3.8172,5.369,3.5916,3.3966
"96","AB12C_ARATH",11.342,5.832,10.625,1.886
"97","AB12G_ARATH",8.832,6.61,13.0116666666667,8.24666666666667
"98","AB12I_ARATH",7.415,4.503,10.5635,6.825
"99","AB13C_ORYSJ",7.215,7.532,9.713,2.296
"100","AB14C_ARATH",27.277,29.3032,32.354,30.4176
"101","AB15B_ARATH",0.677,2.12,5.99,3.459
"102","AB15C_ARATH",10.0316666666667,9.056,11.9176666666667,11.885
"103","AB15G_ARATH",11.77775,6.84575,14.75575,12.1015
"104","AB16G_ARATH",10.053,3.11,5.959,10.367
"105","AB17A_HUMAN",6.835,4.734,11.2,4.856
"106","AB17B_CHICK",6.529,6.085,3.6105,2.501
"107","AB17B_RAT",0,0,1.22,0.704
"108","AB17C_DANRE",6.841,4.11766666666667,10.4096666666667,7.12966666666667
"109","AB19I_ARATH",11.4905,14.59,15.4045,14.8765
"110","AB1C_ARATH",18.084,5.283,11.364,9.468
"111","AB1D_ARATH",15.9851818181818,12.8774545454545,14.1442727272727,14.1184545454545
"112","AB1F_ARATH",34.1635294117647,29.9429411764706,32.0333529411765,29.5707647058824
"113","AB20B_ARATH",10.81575,7.78475,9.4435,10.179
"114","AB20I_ARATH",15.0775,11.87875,16.71225,18.43075
"115","AB21B_ARATH",14.885,17.5023333333333,16.1433333333333,14.279
