species,ange,sonu
Eutrema salsugineum ,80.89,79.71
Arabidopsis thaliana,79.69,79.52
Zostera marina,78.76,78.82
Populus trichocarpa,79.62,79.86
Kalanchoe marnieriana,80.49,80.44
Hordeum vulgare,85.22,85.47
Leersia perrieri,85.49,85.72
Brachypodium distachyon,85.46,85.59
Oryza sativa,85.73,85.93
Triticum aestivum,85.26,85.43
Panicum hallii,89.05,89.25
Setaria italica,89.18,89.36
Setaria viridis,89.01,89.19
Panicum virgatum,88.80,89.03
Zea mays,91.44,91.63
Sorghum bicolor,93.61,93.79
