gene	length
11S2_SESIN	1134
12KD_FRAAN	846
13S2_FAGES	378
14331_MAIZE	1038
14331_ORYSJ	794
14332_MAIZE	634
14333_ORYSJ	605
14334_ORYSJ	783
14337_SOLLC	789
14338_ORYSJ	1150
1A112_ARATH	786
1MMP_ARATH	775
21KD_DAUCA	564
2A5A_ARATH	396
2A5B_ARATH	676
2A5G_ARATH	918
2A5N_ARATH	660
2A5Z_ARATH	486
2AAA_PEA	317
2AAB_ARATH	990
2AAG_ARATH	1046
2AB2A_ARATH	694
2AB2D_ARATH	2115
2ABA_ARATH	401
2ABA_ORYSJ	847
2ABB_ARATH	824
2ABB_ORYSI	438
2ABB_ORYSJ	662
2MMP_ARATH	457
2NPD_BACSU	400
2NPD_STAAW	424
3AT_PERFR	356
3HBH_KLEOX	845
3HBH1_PSEAC	513
3HID1_ARATH	628
3HID2_ARATH	358
3MAT_DAHPI	440
3MG_ARATH	318
4CGT_ANTMA	392
4CL1_ORYSJ	414
4CL2_ORYSJ	620
4CL3_ORYSJ	683
4CL4_ORYSJ	727
4CLL1_ORYSJ	826
4CLL4_ORYSJ	414
4CLL5_ORYSJ	733
4CLL6_ORYSJ	606
4CLL7_ORYSJ	664
4CLL9_ARATH	700
4CLLA_ARATH	869
4MMP_ARATH	495
5BPOR_DIGLA	655
5FCL_ARATH	768
5FCLL_ARATH	1050
5MAT_ARATH	334
5NG4_PINTA	634
5NTC_DICDI	1073
5NTC_MOUSE	1209
5NTC_PONAB	1961
5NTC_XENLA	812
6DCS_SOYBN	493
6HN3M_PSEPK	560
6PGD1_ORYSJ	757
6PGD2_ORYSJ	751
6PGL1_ORYSI	431
6PGL1_ORYSJ	832
6PGL4_ORYSI	1315
708A6_MAIZE	318
7TMK1_DICDI	885
86A22_PETHY	662
A1CF_HUMAN	633
A1CF_PONAB	2302
A1CF_RAT	585
A2965_ARTBC	528
A60DA_DROME	2026
AAAS_ARATH	518
AAE_RAUSE	497
AAE1_ARATH	514
AAE11_ARATH	1060
AAE12_ARATH	1345
AAE13_ARATH	1213
AAE16_ARATH	763
AAE17_ARATH	499
AAE2_ARATH	412
AAE5_ARATH	567
AAE6_ARATH	635
AAED1_ARATH	804
AAH_ORYSJ	1113
AAMP_CANLF	689
AAMT1_MAIZE	1272
AAMT2_MAIZE	954
AAMT3_MAIZE	464
AAP1_ARATH	464
AAP2_ARATH	477
AAP3_ARATH	582
AAP4_ARATH	317
AAP5_ARATH	545
AAP6_ARATH	967
AAP7_ARATH	437
AAP8_ARATH	340
AAPC_CENCI	764
AAPT1_ARATH	1187
AAPT2_ARATH	708
AAR2_RABIT	714
AASS_ARATH	324
AAT_THET8	540
AAT1_ARATH	726
AAT5_ARATH	1047
AATC_ORYSJ	743
AATP4_ARATH	607
AATP5_ARATH	398
AATP9_ARATH	631
AATPA_ARATH	793
AATPB_ARATH	1247
AATPC_ARATH	622
AATPF_ARATH	387
AATPI_ARATH	442
AATPJ_ARATH	852
AB10C_ARATH	557
AB10I_ARATH	668
AB11B_ARATH	1223
AB11G_ARATH	701
AB11I_ARATH	857
AB12C_ARATH	932
AB12G_ARATH	861
AB12I_ARATH	621
AB13C_ORYSJ	438
AB14B_ARATH	327
AB14C_ARATH	1582
AB14G_ARATH	358
AB15B_ARATH	406
AB15C_ARATH	911
AB15G_ARATH	727
AB16B_ARATH	366
AB16G_ARATH	328
AB17A_HUMAN	540
AB17A_RAT	541
AB17B_CHICK	676
AB17B_RAT	706
AB17C_CHICK	769
AB17C_DANRE	725
AB19B_ARATH	356
AB19G_ARATH	413
AB19I_ARATH	779
AB1B_ARATH	396
AB1C_ARATH	641
AB1D_ARATH	897
AB1F_ARATH	602
AB20B_ARATH	700
AB20I_ARATH	575
AB21B_ARATH	1493
AB21I_ARATH	364
AB22G_ARATH	1986
AB25B_ARATH	1032
AB25B_ORYSJ	1706
AB25G_ARATH	321
AB26B_ARATH	744
AB28B_ARATH	1095
AB2A_ARATH	558
AB2C_ARATH	1821
AB2D_ARATH	860
AB2E_ARATH	888
AB2G_ARATH	428
AB35G_ORYSJ	401
AB36G_ORYSI	635
AB36G_ORYSJ	369
AB39G_ORYSJ	813
AB3A_ARATH	503
AB3C_ARATH	1176
AB3F_ARATH	1381
AB42G_ORYSJ	1336
AB45G_ORYSJ	469
AB4B_ARATH	1236
AB4C_ARATH	1148
AB4C_MAIZE	432
AB4F_ARATH	934
AB53G_ORYSJ	899
AB5B_ARATH	663
AB5F_ARATH	1951
AB6B_ARATH	504
AB6C_ARATH	606
AB6I_ARATH	760
AB7A_ARATH	466
AB7B_ARATH	343
AB7G_ARATH	953
AB7I_ARATH	1147
AB8A_ARATH	468
AB8C_ARATH	1747
AB8I_ARATH	1725
AB9B_ARATH	574
AB9C_ARATH	944
ABA2_NICPL	1010
ABAH1_ORYSJ	338
ABAH3_ORYSI	1205
ABAH3_ORYSJ	657
ABD18_HUMAN	315
ABD18_RAT	443
ABHD3_HUMAN	1126
ABHDB_HUMAN	481
ABHDB_XENLA	761
ABHDD_DANRE	614
ABIL1_ORYSJ	724
ABIL3_ORYSJ	337
ABIL4_ORYSJ	376
ABKC_DICDI	950
ABP4_MAIZE	371
ABP5_MAIZE	327
ACA1_ORYSJ	779
ACA10_ARATH	610
ACA2_ARATH	1100
ACA2_ORYSJ	561
ACA4_ORYSJ	1016
ACA5_ORYSJ	1039
ACA6_ORYSJ	601
ACA8_ARATH	720
ACA9_ARATH	517
ACAP1_ARATH	902
ACBP_FRIAG	353
ACBP_RICCO	589
ACBP1_ARATH	705
ACBP2_ARATH	375
ACBP3_ARATH	1318
ACBP4_ARATH	849
ACBP5_ARATH	422
ACBSY_ORYSJ	731
ACC1_ORYSJ	1611
ACC2_ORYSJ	1310
ACCH1_ARATH	552
ACCH2_ARATH	430
ACCH3_ARATH	1000
ACCH4_ARATH	1094
ACCH7_ARATH	365
ACCO_DIACA	587
ACCO_MUSAC	589
ACCO1_DORSP	407
ACCO1_MALDO	389
ACCO1_ORYSI	1107
ACCO5_ARATH	392
ACD11_ARATH	579
ACD6_ARATH	363
ACDH_ARATH	614
ACEA_ORYSJ	319
ACER3_MOUSE	1049
ACET1_MAIZE	538
ACET1_ORYSJ	1026
ACFR1_ARATH	377
ACFR2_ARATH	454
ACFR2_MAIZE	1023
ACH11_ARATH	665
ACINU_HUMAN	1840
ACINU_MOUSE	1090
ACL5_ARATH	733
ACLA1_ORYSJ	424
ACLA2_ORYSJ	930
ACLA3_ORYSJ	1030
ACLB1_ORYSJ	1567
ACMAT_VITLA	374
ACO1_ARATH	309
ACO13_MOUSE	512
ACO13_PONAB	604
ACO2M_ARATH	544
ACOC_CUCMA	1144
ACOC_CUCMC	394
ACOC_ORYSJ	1056
ACOT8_HUMAN	420
ACOT8_RAT	904
ACOT9_HUMAN	301
ACOT9_MOUSE	864
ACOX1_ARATH	940
ACOX2_ARATH	561
ACOX2_CUCMA	382
ACOX3_ARATH	1026
ACOX4_ARATH	988
