factor	Group		
sxe	PSY_MAIZE		
sxe	FMDA_SCHPO		
sxe	VATF_ARATH		
sxe	CUT1B_ARATH		
sxe	ADF5_ORYSJ		
sxe	H33_VITVI		
sxe	SPT51_ARATH		
sxe	PSBA_SORBI		
sxe	UPL1_ARATH		
sxe	ILR3_ARATH		
sxe	H1_MAIZE		
sxe	IF5_MAIZE		
sxe	FRO6_ARATH		
sxe	ARFU_ORYSJ		
sxe	PPCE_HUMAN		
sxe	Y3475_ARATH		
sxe	C79A1_SORBI		
sxe	ASPRX_ORYSJ		
sxe	MSRB1_ORYSJ		
sxe	CC130_BOVIN		
sxe	LECH_HORVU		
sxe	MSPD2_MOUSE		
sxe	PAP14_ARATH		
sxe	RL51_ORYSJ		
sxe	UBC4_SOLLC		
sxe	SYGM2_ARATH		
sxe	USPAL_ARATH		
sxe	RS27_HORVU		
sxe	RSC5_DICDI		
sxe	IAA31_ORYSJ		
sxe	RPT2_ARATH		
sxe	BZW2_MUSMM		
sxe	PP4R3_XENLA		
sxe	CHLI_ORYSJ		
sxe	C77A1_SOLME		
sxe	RPM1_ARATH		
sxe	SALR_PAPBR		
sxe	Y5129_ARATH		
sxe	SBP3_ARATH		
sxe	ZNRF3_DANRE		
sxe	MF14B_RAT		
sxe	BH035_ARATH		
sxe	C71AJ_PASSA		
sxe	NGBR_MOUSE		
sxe	ATOX1_ARATH		
sxe	SKI24_ARATH		
sxe	CP41A_ARATH		
sxe	NRAM1_ORYSJ		
sxe	LOL3_ORYSJ		
sxe	VA725_ARATH		
sxe	AFG1_YEAST		
sxe	GRPA_MAIZE		
sxe	AIM32_CLAL4		
sxe	Y2104_ARATH		
sxe	SALT_ORYSJ		
sxe	PLST2_ARATH		
sxe	PAP6_ARATH		
sxe	DGDG2_ARATH		
sxe	ICI3_HORVU		
sxe	ORG2_ARATH		
sxe	IQM3_ARATH		
sxe	NDUS4_ARATH		
sxe	OPT3_ARATH		
sxe	SYT5_ARATH		
sxe	TIL_ARATH		
sxe	CB2D_SOLLC		
sxe	DEAH5_ARATH		
sxe	DNAJ_THEP1		
sxe	ASNS_SANAU		
sxe	MYO17_ARATH		
sxe	MF14B_HUMAN		
sxe	Y3720_ARATH		
sxe	PDI14_ORYSJ		
sxe	TRPA_MAIZE		
sxe	GSTT3_ARATH		
sxe	CRYD_ORYSJ		
sxe	FD_ARATH		
sxe	GBA2_MOUSE		
sxe	AAMT2_MAIZE		
sxe	CDI_ARATH		
sxe	ERD2B_ARATH		
sxe	ERD22_CAEEL		
sxe	C7A52_PANGI		
nope	CADH5_ORYSJ		
nope	PTR9_ARATH		
nope	R13L1_ARATH		
nope	DNJ16_ARATH		
nope	RU17_ARATH		
nope	IBBR_ORYSI		
nope	PCFS4_ARATH		
nope	SAP11_ORYSJ		
nope	CNG17_ARATH		
nope	STP13_ARATH		
nope	BCH_GENLU		
nope	NEET_ARATH		
nope	HGGL2_MAIZE		
nope	RH25_ORYSJ		
nope	ACP4_ARATH		
nope	ELI9_HORVU		
nope	YCF36_CYAPA		
nope	RBM42_RAT		
nope	SSL3_ARATH		
nope	HS24M_ORYSJ		
nope	RP6L2_ARATH		
nope	PSAK_HORVU		
nope	DIR6_ARATH		
nope	Y5614_ARATH		
nope	YS1_MAIZE		
nope	ICI2_HORVU		
nope	SMU2_ARATH		
nope	RPP13_ARATH		
nope	CDPK3_ARATH		
nope	KLC4_HUMAN		
nope	GMPP3_ORYSJ		
nope	DRE2B_ORYSJ		
nope	MF14A_HUMAN		
nope	SODM1_MAIZE		
nope	EXD1_HUMAN		
nope	FCL2_ORYSJ		
nope	PP2A2_ORYSJ		
nope	GLNA5_MAIZE		
nope	NRAM2_ORYSJ		
nope	RSH3_ORYSJ		
nope	APG2_ARATH		
nope	SL30A_ARATH		
nope	CNX1_ARATH		
nope	ASD_ARATH		
nope	MF14B_MOUSE		
nope	PSBB_SORBI		
nope	SCP1_ARATH		
nope	PRF1_SOLLC		
nope	PDC2_MAIZE		
nope	SFH6_ARATH		
nope	URT1_FRAAN		
nope	PPO_MALDO		
nope	GLB3_ARATH		
nope	SSY3_SOLTU		
nope	CPS3B_ARATH		
nope	JIPH_ATRCA		
nope	PPCE_PIG		
nope	C76BA_SWEMU		
nope	SETD4_MOUSE		
nope	C78A6_ARATH		
nope	PEL1_ARATH		
nope	EIF3J_DICDI		
nope	LIP4_ARATH		
nope	OFP6_ARATH		
nope	HEM1_ORYSI		
nope	EXPA4_ORYSJ		
nope	RH56_ORYSJ		
nope	RH8_ORYSJ		
nope	ERECT_ARATH		
nope	DI195_ORYSJ		
nope	MTK1_ORYSJ		
nope	VDAC4_ORYSJ		
nope	ENT3_ARATH		
nope	M2K1_ORYSJ		
nope	CCR1_ARATH		
nope	Y1839_ARATH		
nope	CDF2_ARATH		
nope	GWD1_SOLTU		
nope	PP12_SCHPO		
nope	BH047_ARATH		
nope	DHQS_SOLLC		
nope	PER2_MAIZE		
nope	GCAL2_ARATH		
nope	AATPF_ARATH		
nope	TI10C_ORYSJ		
nope	RAP27_ARATH		
nope	OMT3_SORBI		
nope	DCAF1_ARATH		
nope	YG31B_YEAST		
nope	TRXM_PEA		
nope	TDA3_YEAST		
nope	RGLG1_ARATH		
nope	HS17A_ORYSJ		
nope	SMH6_MAIZE		
nope	IOJAP_MAIZE		
nope	GRRA_EMENI		
nope	ACT2_ORYSJ		
nope	EDS1C_ARATH		
nope	AGD14_ARATH		
nope	EXPB3_ORYSJ		
nope	T11L1_MOUSE		
nope	ADC2_ORYSJ		
nope	PIF3_ARATH		
nope	MFAP1_CHICK		
nope	RRT15_YEAST		
nope	VP35A_ARATH		
nope	4MMP_ARATH		
nope	POL2_DROME		
nope	BGL04_ORYSJ		
nope	DNJ10_ARATH		
nope	ZN363_MOUSE		
nope	CML1_ARATH		
nope	CLH1_ARATH		
nope	PMT8_ARATH		
nope	CDPKT_ARATH		
nope	ZN363_HUMAN		
nope	RL362_ARATH		
nope	SMO11_ARATH		
nope	AB2C_ARATH		
nope	YNBD_ECOLI		
nope	SAPK3_ORYSJ		
nope	NLTP1_SORBI		
nope	DDB1A_ARATH		
nope	SYP23_ARATH		
nope	PAE2_ARATH		
nope	STR9_ARATH		
nope	SEC23_USTMA		
nope	NPC1_PIG		
nope	D27_ORYSJ		
nope	DNJ50_ARATH		
nope	UGPA_HORVU		
nope	PCYOX_ARATH		
nope	SYS1_NEMVE		
nope	CCAR1_MOUSE		
nope	CB25_PETSP		
nope	CB48_MAIZE		
nope	EDL1_ARATH		
nope	DYL1_HELCR		
nope	DNAJ_DELAS		
nope	BH130_ARATH		
nope	H2AV3_ARATH		
nope	H1_SOLPN		
nope	D42E1_MACFA		
nope	P2C34_ORYSJ		
nope	CDPKG_ARATH		
nope	LSD1_ORYSJ		
nope	ORR1_ORYSI		
nope	CSK2C_ARATH		
nope	NDHK_MAIZE		
nope	FAP2_ARATH		
nope	SAP9_ORYSJ		
nope	SELT_ARATH		
nope	MT1B_ORYSJ		
nope	GRXC1_ORYSJ		
nope	PHO13_ORYSJ		
nope	GLNA1_MAIZE		
nope	RICI_RICCO		
nope	NU4C_SACHY		
nope	KC1D_ARATH		
nope	HEM11_HORVU		
nope	SSL10_ARATH		
nope	YABD_BACSU		
nope	TEA1_SCHPO		
nope	YERG_SCHPO		
nope	TF29_SCHPO		
nope	MAD2_MAIZE		
nope	FB76_ARATH		
nope	PARNL_ARATH		
nope	APX5_ORYSJ		
nope	DES2_SORBI		
nope	ERI2_XENLA		
nope	COPZ2_ORYSJ		
nope	OMA1_SCHPO		
nope	GEK1_ARATH		
nope	K1468_DANRE		
nope	RBL9_ARATH		
nope	CUT1D_ARATH		
nope	MADS4_ORYSJ		
nope	Y5977_ARATH		
nope	VATG_CITLI		
nope	SFH1_ARATH		
nope	TPS2_SORBI		
nope	GLO4_ORYSJ		
nope	ZFP8_ARATH		
nope	PAPA1_CARPA		
nope	CYP38_ARATH		
nope	SALT_ORYSI		
nope	API5_PONAB		
nope	PP322_ARATH		
nope	RR13_SPIOL		
nope	HPPR_PLESU		
nope	QORL2_RAT		
nope	SNL4_ARATH		
nope	PSBB_ORYSI		
nope	WRK54_ARATH		
nope	CYB6_WHEAT		
nope	PSBI_WHEAT		
nope	RLP24_ARATH		
nope	CIPKU_ORYSJ		
nope	LPXD2_ARATH		
nope	LINS_ORYSJ		
nope	ZDHC2_ARATH		
nope	G6PDC_SOLTU		
nope	PDI51_ORYSJ		
nope	ATP7_ARATH		
nope	KCS1_ARATH		
nope	NAC31_ARATH		
nope	P2C01_ORYSJ		
nope	FAFL_ARATH		
nope	C74A2_ORYSJ		
nope	NPCL1_RAT		
nope	RH14_ORYSJ		
nope	DYRK3_RAT		
nope	LCV1_ARATH		
nope	CP29B_ARATH		
nope	CP41B_ARATH		
nope	CO410_WHEAT		
nope	Y4370_ARATH		
nope	UEV1D_ARATH		
nope	MRS2G_ORYSJ		
nope	RNC1_MAIZE		
nope	ATPB_WHEAT		
nope	LIAS_SORBI		
nope	AIL1_ARATH		
nope	ETOL1_ARATH		
nope	TRXB2_ARATH		
nope	DRC7_CHLRE		
nope	CESA8_ORYSJ		
nope	Y2766_ARATH		
nope	ASHH3_ARATH		
nope	PRP8_MOUSE		
nope	DIR11_ARATH		
nope	CCD12_MOUSE		
nope	RK22_ODOSI		
nope	AGUA_ARATH		
nope	EI2BD_SCHPO		
nope	NEN3_ARATH		
nope	DHQS_METJA		
nope	YPTM2_MAIZE		
nope	RNLX_SOLLC		
nope	TI141_ARATH		
nope	TRUA_RICAH		
nope	ATESY_VITVI		
nope	MED16_ARATH		
nope	CALM_HORVU		
nope	TIP22_MAIZE		
nope	NRPD4_ARATH		
nope	LALIN_LAVAN		
nope	ERVB_TABDI		
nope	EA1_MAIZE		
nope	LE14B_PRUAR		
nope	PP298_ARATH		
nope	LCYB_ARATH		
nope	Y5597_ARATH		
nope	GPP1_ARATH		
nope	HPSE2_ARATH		
nope	H2AX_PICAB		
nope	ASPGB_ARATH		
nope	SAT5_ORYSJ		
nope	C16B1_PICSI		
nope	FBL3_ARATH		
nope	LETM1_CHICK		
nope	ZIFL1_ARATH		
nope	TRAB1_ORYSJ		
nope	DRL37_ARATH		
nope	NEP1_NEPGR		
nope	ANGS_PASSA		
nope	FOLH1_PIG		
nope	CDKF1_ORYSI		
nope	NMD3_MOUSE		
nope	NIK1_ARATH		
nope	CIPKT_ORYSJ		
nope	BH121_ARATH		
nope	SHOC2_DANRE		
nope	BEBT_TOBAC		
nope	TCP13_ARATH		
nope	STR4_ARATH		
nope	CBXXC_CUPNH		
nope	HY5_SOLLC		
nope	FCL1_ORYSJ		
nope	SFH2_ARATH		
nope	EF1G1_ORYSJ		
nope	ORC4_ORYSJ		
nope	PGLR4_ARATH		
nope	TTC38_DANRE		
nope	GSTF1_ORYSJ		
nope	APX6_ARATH		
nope	B3GT3_ARATH		
nope	PPCE_MOUSE		
nope	SCS_SALOF		
nope	ARF5_ARATH		
nope	ANXD3_ARATH		
nope	ITPK2_ORYSJ		
nope	YZ37_SYNY3		
nope	P2A01_ARATH		
nope	CCAR1_HUMAN		
nope	RCC2_HUMAN		
nope	GOGC2_ARATH		
nope	YJNA_SCHPO		
nope	CSLA3_ORYSJ		
nope	RPO1B_TOBAC		
nope	DPNPM_ARATH		
nope	BGL18_ORYSJ		
nope	QWRF9_ARATH		
nope	HTPX2_METMA		
nope	CIPKJ_ORYSJ		
nope	ARGJ_MAIZE		
nope	TRNH5_ARATH		
nope	PUMP2_ARATH		
nope	PTA16_ARATH		
nope	HSP83_ORYSJ		
nope	ERF2_TOBAC		
nope	PPO_SPIOL		
nope	PFKA2_ARATH		
nope	POLIB_ORYSJ		
nope	RST3_AVESA		
nope	SRC30_ARATH		
nope	ZRP4_MAIZE		
nope	CCD94_MOUSE		
nope	LHWL3_ARATH		
nope	RL23A_DAUCA		
nope	PGMP_PEA		
nope	NFYA9_ARATH		
nope	BEM46_SCHPO		
nope	CS3_COFAR		
nope	NICA_ARATH		
nope	C71C4_MAIZE		
nope	NUD16_ARATH		
nope	GABP2_HUMAN		
nope	AGGL_ABRPR		
nope	HHT1_ARATH		
nope	DGK7_ARATH		
nope	RSLE2_ORYSJ		
nope	NHX2_ARATH		
nope	FRYL_HUMAN		
nope	YF48_SCHPO		
nope	TMN7_ARATH		
nope	OXA1L_ARATH		
nope	ARP9_ORYSI		
nope	PEX5_ARATH		
nope	HEM1_ORYSJ		
nope	RNZN_WHEAT		
nope	T2FB_XENLA		
nope	COG1_HUMAN		
nope	CML1_ORYSI		
nope	C89A9_ARATH		
nope	CD27B_ARATH		
nope	MRS2D_ORYSI		
nope	TI11C_ORYSJ		
nope	CCS_ORYSJ		
nope	RH15_ORYSJ		
nope	FOSB_BACLD		
nope	F16P2_SACHY		
nope	Y5102_ARATH		
nope	AB15G_ARATH		
nope	LAHY_LARTR		
nope	NLRC3_MOUSE		
nope	PGLR_OENOR		
nope	ACOX4_ARATH		
nope	ANT_ARATH		
nope	XTH28_ARATH		
nope	ACCO1_ORYSI		
nope	PER68_ARATH		
nope	COQ5_ORYSJ		
nope	RPOT3_NICSY		
nope	TI10C_ORYSI		
nope	SUVR2_ARATH		
nope	CSCL9_ARATH		
nope	EXPB4_ORYSJ		
nope	RNF8A_XENLA		
nope	ODPB3_ORYSJ		
nope	HSL1_ARATH		
nope	TRL4_ARATH		
nope	GSHB_BRAJU		
nope	DPE1_ORYSJ		
nope	XB33_ORYSJ		
nope	MD20A_ARATH		
nope	SCL6_ARATH		
nope	GSH1B_ORYSI		
nope	FARS_MAIZE		
nope	CYB5_ORYSJ		
nope	UBTD1_XENTR		
nope	D2HDH_ORYSJ		
nope	SC24B_HUMAN		
nope	CML30_ORYSJ		
nope	UAF30_SCHPO		
nope	NDUA2_ARATH		
nope	COG2_DICDI		
nope	TF1_ORYSJ		
nope	APRL5_ORYSJ		
nope	CBP2_WHEAT		
nope	HCBT3_DIACA		
nope	G6PD_SOLTU		
nope	ARFQ_ORYSI		
nope	R13L3_ARATH		
nope	RAR1_ORYSJ		
nope	MLO_HORVU		
nope	GDL74_ARATH		
